Date,US_Open,US_High,US_Low,US_Close,US_Volume,UK_Open,UK_High,UK_Low,UK_Close,UK_Volume,China_Open,China_High,China_Low,China_Close,China_Volume,Thai_Open,Thai_High,Thai_Low,Thai_Close,Thai_Volume,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,US_SMA200,UK_SMA200,China_SMA200
2023-04-28,4129.6298828125,4170.06005859375,4127.18017578125,4169.47998046875,4087800000,7831.60009765625,7870.60009765625,7791.60009765625,7870.60009765625,945273500,3283.1201171875,3324.8798828125,3283.1201171875,3323.27001953125,401600,1536.280029296875,1542.4100341796875,1524.300048828125,1529.1199951171875,2604500,29481.013671875,29572.791015625,28929.609375,29340.26171875,17544464887,3954.7974145507815,7463.441018066406,3208.0676306152345
2023-05-09,4124.25,4130.35009765625,4116.64990234375,4119.169921875,3810140000,7778.39990234375,7792.39990234375,7735.10009765625,7764.10009765625,951320100,3402.389892578125,3418.949951171875,3356.1201171875,3357.669921875,573000,1561.760009765625,1569.739990234375,1554.6800537109375,1564.6600341796875,3257500,27695.068359375,27821.400390625,27375.6015625,27658.775390625,14128593256,3954.6020629882814,7464.334018554688,3209.2047802734373
2023-05-10,4143.740234375,4154.27978515625,4098.919921875,4137.64013671875,4057160000,7764.10009765625,7779.0,7727.10009765625,7741.2998046875,712870600,3347.699951171875,3349.719970703125,3305.25,3319.14990234375,451700,1562.6600341796875,1570.8499755859375,1557.6800537109375,1569.56005859375,3150200,27654.63671875,28322.6875,26883.669921875,27621.755859375,20656025026,3954.6295141601563,7465.002016601563,3209.868380126953
2023-05-11,4132.240234375,4132.7998046875,4109.2900390625,4130.6201171875,3752900000,7741.2998046875,7784.2998046875,7679.60009765625,7730.60009765625,883996400,3323.659912109375,3333.25,3307.2900390625,3309.550048828125,354300,1571.2099609375,1576.5899658203125,1564.780029296875,1567.4000244140625,3725800,27621.0859375,27621.94140625,26781.826171875,27000.7890625,16724343943,3954.77646484375,7465.990017089844,3210.505330810547
2023-05-12,4138.5400390625,4143.740234375,4099.1201171875,4124.080078125,3533740000,7730.60009765625,7772.7998046875,7729.0,7754.60009765625,748114500,3304.4599609375,3319.1298828125,3271.429931640625,3272.360107421875,347300,1565.6600341796875,1567.81005859375,1548.030029296875,1561.3499755859375,4260500,26987.662109375,27055.646484375,25878.4296875,26804.990234375,19313599897,3954.7897143554687,7466.722016601562,3210.685280761719
2023-05-15,4126.64990234375,4141.25,4110.27001953125,4136.27978515625,3562170000,7754.60009765625,7794.89990234375,7754.60009765625,7777.7001953125,735218600,3269.8798828125,3310.739990234375,3235.8701171875,3310.739990234375,388000,1570.6199951171875,1570.6199951171875,1536.8199462890625,1541.3800048828125,4815800,26931.384765625,27646.34765625,26766.09765625,27192.693359375,14413231792,3954.6677124023436,7467.6160180664065,3211.0301806640623
2023-05-16,4127.9501953125,4135.5400390625,4109.85986328125,4109.89990234375,3654200000,7777.7001953125,7804.89990234375,7741.2998046875,7751.10009765625,1082316100,3310.159912109375,3317.89990234375,3282.489990234375,3290.989990234375,322500,1541.1099853515625,1545.739990234375,1536.3599853515625,1539.8399658203125,3865500,27171.513671875,27299.3046875,26878.947265625,27036.650390625,12732238816,3954.6383618164064,7468.406518554688,3211.166180419922
2023-05-17,4122.85009765625,4164.669921875,4113.6201171875,4158.77001953125,4039080000,7751.10009765625,7758.2001953125,7713.0,7723.2001953125,701763700,3281.969970703125,3298.52001953125,3269.889892578125,3284.22998046875,285700,1541.2900390625,1543.6300048828125,1517.2099609375,1522.739990234375,3881500,27035.470703125,27465.927734375,26600.14453125,27398.802734375,15140006925,3955.3431115722656,7469.6415185546875,3211.392580566406
2023-05-18,4157.68017578125,4202.2001953125,4153.5,4198.0498046875,3980500000,7723.2001953125,7776.60009765625,7723.2001953125,7742.2998046875,757218800,3288.409912109375,3313.860107421875,3284.169921875,3297.320068359375,310000,1531.1500244140625,1541.06005859375,1526.68994140625,1526.68994140625,3773700,27401.650390625,27466.52734375,26415.1015625,26832.208984375,15222938600,3956.8290600585938,7471.765517578125,3211.455030517578
2023-05-19,4204.14990234375,4212.91015625,4180.2001953125,4191.97998046875,4041900000,7742.2998046875,7790.89990234375,7742.10009765625,7756.89990234375,631941000,3288.889892578125,3302.340087890625,3268.219970703125,3283.5400390625,285400,1529.1500244140625,1530.469970703125,1512.6600341796875,1514.8900146484375,4245300,26826.75390625,27128.619140625,26700.2109375,26890.12890625,11258983301,3959.040810546875,7474.521018066406,3211.59498046875
2023-05-22,4190.77978515625,4209.22021484375,4179.68017578125,4192.6298828125,3728520000,7756.89990234375,7783.39990234375,7750.5,7771.0,1205325000,3278.60009765625,3308.530029296875,3276.5400390625,3296.469970703125,273900,1505.2099609375,1531.010009765625,1491.1199951171875,1529.239990234375,4337100,26749.892578125,27045.734375,26549.734375,26851.27734375,11056770492,3961.3265600585937,7477.438518066407,3211.6327807617185
2023-05-23,4176.7998046875,4185.68017578125,4142.5400390625,4145.580078125,4155320000,7771.0,7800.89990234375,7747.10009765625,7763.0,698476000,3294.7900390625,3298.22998046875,3246.239990234375,3246.239990234375,275300,1526.1500244140625,1536.5899658203125,1518.3800048828125,1534.8399658203125,3859400,26855.9609375,27434.68359375,26816.1796875,27225.7265625,13697203143,3963.1045104980467,7479.886518554687,3211.336931152344
2023-05-26,4156.16015625,4212.8701171875,4156.16015625,4205.4501953125,3715460000,7570.89990234375,7643.60009765625,7556.89990234375,7627.2001953125,817609400,3198.8798828125,3220.77001953125,3179.820068359375,3212.5,261700,1533.1800537109375,1536.0799560546875,1527.5899658203125,1530.8399658203125,3093300,26474.181640625,26916.669921875,26343.94921875,26719.291015625,12711619225,3969.9323608398436,7487.945520019532,3209.885031738281
2023-05-30,4226.7099609375,4231.10009765625,4192.18017578125,4205.52001953125,4228510000,7627.2001953125,7628.10009765625,7516.5,7522.10009765625,856682400,3214.669921875,3230.6298828125,3186.6298828125,3224.2099609375,303500,1543.300048828125,1545.550048828125,1531.300048828125,1534.81005859375,3495400,27745.123046875,28044.759765625,27588.501953125,27702.349609375,13251081851,3972.1605114746094,7490.11001953125,3209.670081787109
2023-06-02,4241.009765625,4290.669921875,4241.009765625,4282.3701171875,4454200000,7490.2998046875,7614.89990234375,7490.0,7607.2998046875,638696900,3212.449951171875,3233.989990234375,3211.739990234375,3230.070068359375,294700,1526.8699951171875,1534.489990234375,1524.52001953125,1531.199951171875,3046000,26824.556640625,27303.861328125,26574.64453125,27249.58984375,14837415000,3977.538712158203,7495.390520019531,3207.6209326171875
2023-06-08,4268.68994140625,4298.009765625,4261.06982421875,4293.93017578125,3826740000,7624.2998046875,7638.60009765625,7588.0,7599.7001953125,531758500,3194.830078125,3225.530029296875,3180.5400390625,3213.590087890625,293500,1533.56005859375,1559.5,1530.550048828125,1559.5,3930700,26347.654296875,26797.513671875,26246.6640625,26508.216796875,11904824295,3984.6364135742188,7500.626022949219,3204.8076330566405
2023-06-09,4304.8798828125,4322.6201171875,4291.7001953125,4298.85986328125,3786510000,7599.7001953125,7621.7001953125,7546.5,7562.39990234375,564539300,3213.030029296875,3231.409912109375,3206.10009765625,3231.409912109375,314200,1558.93994140625,1559.4300537109375,1549.5699462890625,1555.1099853515625,3323900,26505.923828125,26770.2890625,26339.314453125,26480.375,11015551640,3987.0040625,7502.594521484375,3204.026483154297
2023-06-12,4308.31982421875,4340.1298828125,4304.3701171875,4338.93017578125,3945670000,7562.39990234375,7599.89990234375,7556.7998046875,7570.7001953125,542917600,3225.300048828125,3239.43994140625,3210.7099609375,3228.830078125,313800,1551.1199951171875,1555.8900146484375,1547.4599609375,1551.4100341796875,2891700,25934.28515625,26087.919921875,25675.197265625,25902.5,11677889997,3989.5417639160155,7505.320522460937,3203.1504833984377
2023-06-13,4352.60986328125,4375.3701171875,4349.31005859375,4369.009765625,4275400000,7570.7001953125,7610.7998046875,7556.2998046875,7594.7998046875,1003241900,3223.89990234375,3235.090087890625,3215.5,3233.669921875,280600,1553.1099853515625,1566.260009765625,1552.300048828125,1562.4000244140625,3365500,25902.94140625,26376.3515625,25728.365234375,25918.728515625,14143474486,3992.1614123535155,7507.755522460938,3202.542082519531
2023-06-14,4366.2900390625,4391.81982421875,4337.85009765625,4372.58984375,4252110000,7594.7998046875,7639.7998046875,7579.2998046875,7602.7001953125,698184100,3238.1201171875,3248.4599609375,3226.77001953125,3228.989990234375,303500,1565.8499755859375,1569.3399658203125,1559.3399658203125,1561.1500244140625,3234200,25920.2578125,26041.80078125,24902.15234375,25124.67578125,14265717766,3994.511260986328,7509.823522949218,3201.8650329589846
