Market,Regime,Trend,Model,Strategy Return (%),B&H Return (%),Max DD (%),Final $,Long (%),Short (%),Turnover,Tie Warning
UK,ADX,Overall,RandomForest,11.56,14.2,-11.86,11155.57,99.7,0.3,3.0,
UK,,Uptrend,RandomForest,6.65,6.65,-3.42,10665.33,,,,
UK,,Downtrend,RandomForest,5.12,7.08,-10.99,10512.14,,,,
UK,ADX,Overall,SVM,14.09,14.2,-11.86,11408.65,100.0,0.0,1.0,
UK,,Uptrend,SVM,6.65,6.65,-3.42,10665.33,,,,
UK,,Downtrend,SVM,7.08,7.08,-10.99,10707.66,,,,
UK,ADX,Overall,XGBoost,14.09,14.2,-11.86,11408.65,100.0,0.0,1.0,
UK,,Uptrend,XGBoost,6.65,6.65,-3.42,10665.33,,,,
UK,,Downtrend,XGBoost,7.08,7.08,-10.99,10707.66,,,,
UK,HMM,Overall,LSTM,0.72,14.2,-13.12,10071.64,8.4,88.4,5.0,
UK,,Uptrend,LSTM,-2.13,9.98,-13.05,9787.3,,,,
UK,,Downtrend,LSTM,3.84,3.84,-5.99,10383.65,,,,
UK,HMM,Overall,CNN,13.3,14.2,-10.12,11330.49,81.4,0.0,1.0,
UK,,Uptrend,CNN,9.23,9.98,-9.92,10922.78,,,,
UK,,Downtrend,CNN,3.84,3.84,-5.99,10383.65,,,,
UK,HMM,Overall,MLP,13.3,14.2,-10.12,11330.49,81.4,0.0,1.0,
UK,,Uptrend,MLP,9.23,9.98,-9.92,10922.78,,,,
UK,,Downtrend,MLP,3.84,3.84,-5.99,10383.65,,,,
UK,HMM,Overall,Transformer,13.3,14.2,-10.12,11330.49,81.4,0.0,1.0,
UK,,Uptrend,Transformer,9.23,9.98,-9.92,10922.78,,,,
UK,,Downtrend,Transformer,3.84,3.84,-5.99,10383.65,,,,
UK,HMM,Overall,RandomForest,14.09,14.2,-11.86,11408.65,100.0,0.0,1.0,
UK,,Uptrend,RandomForest,9.98,9.98,-12.49,10998.13,,,,
UK,,Downtrend,RandomForest,3.84,3.84,-5.99,10383.65,,,,
UK,HMM,Overall,SVM,14.09,14.2,-11.86,11408.65,100.0,0.0,1.0,
UK,,Uptrend,SVM,9.98,9.98,-12.49,10998.13,,,,
UK,,Downtrend,SVM,3.84,3.84,-5.99,10383.65,,,,
